evaluations raw_y
4 9.6077151188
15 8.7467217890
33 3.3763765791
262 3.1845463341
340 3.0203605481
2116 2.3950760812
2529 2.2766994445
3011 2.1217271612
7057 2.2359863673
10911 2.0329245875
14434 1.8695687201
30907 1.7517729990
31784 1.5323942227
50004 6.2402501130
evaluations raw_y
1 7.7054839947
3 5.4128726381
102 3.5955380711
575 3.5498797192
745 3.1544960468
758 1.7286901416
14581 1.7020035273
18364 1.6735289783
40613 1.5358412449
50012 14.4133560166
evaluations raw_y
1 20.7349248244
2 20.5598263313
3 10.9580872038
5 10.0725219437
24 8.3085856982
39 5.6623991819
51 5.3519318491
79 5.1924805019
105 3.8723072631
140 3.0236806371
762 2.7604347276
1218 2.3985594965
1337 2.3494839932
2789 2.2716724431
4103 1.9635301019
24970 1.1318349902
43318 1.0012709503
50007 18.0203853257
evaluations raw_y
1 10.8401158347
2 8.4695153941
13 7.2924944301
53 3.9593437759
268 3.3994771417
861 2.9598252529
1844 2.7963277957
10327 2.5198767054
10396 1.7092099077
50006 15.2725381585
evaluations raw_y
1 14.6829757143
2 8.9371238042
32 5.9223805408
53 4.4992602652
63 4.3509052736
140 3.9586722427
233 3.6557071093
385 2.7847360669
2262 2.2624860765
3398 2.2419780637
15078 2.1512893755
16117 1.7990707622
18052 1.6780653515
20677 1.2618799336
50010 18.6991823846
evaluations raw_y
1 14.3505623073
2 12.2273255720
3 4.7812952840
20 4.1363135098
89 2.6136031458
248 1.9270635464
1174 1.2124561925
44708 1.0186299852
50018 24.0098887223
evaluations raw_y
1 23.7274996252
2 7.5504831722
37 4.2362815386
157 3.6603558814
256 3.6249465935
267 3.0556061143
1478 2.5927878629
3457 2.5689012940
7335 1.7671583721
12549 1.7370268761
12665 1.3248959839
15874 1.1845220571
50037 19.7669759876
evaluations raw_y
1 11.8666328524
9 10.3182613429
11 9.3810063821
13 6.0344076154
60 4.5207379641
286 2.6000729791
1506 2.4555138440
9202 2.3470459762
11310 1.8229791570
47121 1.6860903224
50019 22.3966688993
evaluations raw_y
1 17.8765574093
2 12.7712527561
6 12.5706986751
7 10.3792010472
8 6.8082132640
24 6.4329453074
51 2.3588761226
1670 1.3052378964
50064 8.0063892537
evaluations raw_y
1 19.1269350196
2 10.9528467563
19 9.2374393910
25 7.9316830104
51 7.8408836399
61 3.6823630226
167 2.8558399808
463 2.7779314821
705 2.6819254455
1963 2.1573813387
10254 2.0347900828
16513 1.6489240131
16582 1.4076143091
32162 1.3005476940
50009 19.2837845479
evaluations raw_y
1 13.6362010120
3 3.9864783182
206 3.9863282186
675 2.7066108023
1947 2.2513412299
10017 1.8558065419
23656 1.1143855236
50037 13.4655881057
evaluations raw_y
1 19.9493236982
2 14.1761021813
3 12.1140635635
9 11.6270005792
10 9.8249206781
11 9.1442708711
12 8.2499402956
58 6.6228119846
67 6.5165174342
81 5.0548529111
118 4.1292131561
458 2.8371951054
2047 2.2481096086
